open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
2021-03-13 00:26:00,3.80180000,3.80190000,3.79670000,3.79750000,9105.87000000,1615566419999,34590.10308300,89,5177.79000000,19667.91074900,0
2021-03-13 00:27:00,3.79830000,3.80230000,3.79680000,3.80190000,5551.62000000,1615566479999,21091.95430200,81,3510.30000000,13338.46146900,0
2021-03-13 00:28:00,3.80230000,3.80810000,3.80110000,3.80340000,23221.97000000,1615566539999,88340.22080400,140,14507.93000000,55194.39803300,0
2021-03-13 00:29:00,3.80550000,3.81150000,3.80510000,3.81130000,10683.89000000,1615566599999,40700.86294700,116,7956.53000000,30308.85899000,0
2021-03-13 00:30:00,3.80990000,3.81330000,3.80830000,3.81030000,18784.76000000,1615566659999,71585.51607000,125,11725.93000000,44684.41270800,0
2021-03-13 00:31:00,3.81120000,3.81530000,3.80900000,3.80900000,4250.25000000,1615566719999,16206.24665200,64,1445.07000000,5510.14814000,0
2021-03-13 00:32:00,3.80940000,3.81130000,3.80850000,3.81050000,5450.72000000,1615566779999,20766.53129600,70,2782.16000000,10599.74111900,0
2021-03-13 00:33:00,3.81190000,3.81370000,3.81130000,3.81220000,6371.89000000,1615566839999,24293.84017600,53,3125.80000000,11918.32277500,0
2021-03-13 00:34:00,3.81300000,3.81730000,3.81110000,3.81480000,5603.17000000,1615566899999,21372.81759600,77,3812.21000000,14541.19332700,0
2021-03-13 00:35:00,3.81430000,3.81500000,3.81250000,3.81280000,11907.95000000,1615566959999,45413.08898100,72,2530.75000000,9651.25884200,0
2021-03-13 00:36:00,3.81290000,3.81680000,3.81080000,3.81210000,8776.93000000,1615567019999,33474.11072200,80,5154.58000000,19657.33414100,0
2021-03-13 00:37:00,3.81270000,3.81670000,3.81270000,3.81490000,5257.28000000,1615567079999,20054.57607500,51,3015.96000000,11504.94576700,0
2021-03-13 00:38:00,3.81500000,3.81820000,3.81430000,3.81700000,16626.31000000,1615567139999,63452.11313100,110,6645.87000000,25362.75987800,0
2021-03-13 00:39:00,3.81550000,3.81630000,3.81150000,3.81310000,9839.03000000,1615567199999,37517.17355900,92,4446.17000000,16953.95144800,0
2021-03-13 00:40:00,3.81360000,3.81360000,3.81120000,3.81200000,8425.57000000,1615567259999,32121.18799400,72,3598.74000000,13719.40269700,0
