open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
2021-03-13 00:00:00,28.60160000,28.63590000,28.54870000,28.57190000,14356.34000000,1615564859999,410539.59137900,375,6602.41000000,188853.88051900,0
2021-03-13 00:01:00,28.57190000,28.61380000,28.54890000,28.60320000,13338.17000000,1615564919999,381240.64576600,334,7278.12000000,208061.82021300,0
2021-03-13 00:02:00,28.58660000,28.60750000,28.47210000,28.53000000,11901.09000000,1615564979999,339612.46674300,381,4597.54000000,131247.58780300,0
2021-03-13 00:03:00,28.52660000,28.53440000,28.44700000,28.45000000,5307.31000000,1615565039999,151176.05363200,209,1695.92000000,48303.77612000,0
2021-03-13 00:04:00,28.45750000,28.48810000,28.40320000,28.40370000,5010.79000000,1615565099999,142528.32228700,226,1278.07000000,36353.76621500,0
2021-03-13 00:05:00,28.40820000,28.47100000,28.38880000,28.43380000,18088.25000000,1615565159999,514211.15331100,334,13952.67000000,396678.05175700,0
2021-03-13 00:06:00,28.44000000,28.51280000,28.42750000,28.49320000,3956.48000000,1615565219999,112613.15616200,171,1078.98000000,30716.53888100,0
2021-03-13 00:07:00,28.51210000,28.55840000,28.48280000,28.50360000,6579.68000000,1615565279999,187707.12404200,257,2539.56000000,72449.44277800,0
2021-03-13 00:08:00,28.50360000,28.54460000,28.50150000,28.53530000,4049.76000000,1615565339999,115488.61203800,151,2212.99000000,63098.59728500,0
2021-03-13 00:09:00,28.52580000,28.52740000,28.49280000,28.49610000,4028.16000000,1615565399999,114822.18557700,169,1335.33000000,38063.02421900,0
2021-03-13 00:10:00,28.49210000,28.49620000,28.43740000,28.47780000,3955.36000000,1615565459999,112607.15115200,197,1037.73000000,29545.69681200,0
2021-03-13 00:11:00,28.49350000,28.55600000,28.48130000,28.53640000,13265.00000000,1615565519999,378441.10435100,231,10727.37000000,306046.91459000,0
2021-03-13 00:12:00,28.53640000,28.61440000,28.53640000,28.56210000,12645.73000000,1615565579999,361361.03354800,266,8034.25000000,229620.93346100,0
2021-03-13 00:13:00,28.56210000,28.58040000,28.47870000,28.49650000,7238.53000000,1615565639999,206540.92393500,237,2087.21000000,59539.44037700,0
2021-03-13 00:14:00,28.51160000,28.52120000,28.47240000,28.48470000,3512.57000000,1615565699999,100119.71207200,149,1594.76000000,45463.25821500,0
2021-03-13 00:15:00,28.47970000,28.56430000,28.47970000,28.52440000,5884.01000000,1615565759999,167849.22294800,191,2440.38000000,69622.74082300,0
2021-03-13 00:16:00,28.52440000,28.55180000,28.51160000,28.52200000,5839.57000000,1615565819999,166614.05308000,154,2845.09000000,81185.66056600,0
2021-03-13 00:17:00,28.53760000,28.56170000,28.52870000,28.56170000,2776.58000000,1615565879999,79255.36879600,107,1108.05000000,31634.58653700,0
2021-03-13 00:18:00,28.56170000,28.56430000,28.51880000,28.53210000,17870.63000000,1615565939999,510340.20465100,241,14752.36000000,421345.53616000,0
2021-03-13 00:19:00,28.53310000,28.55000000,28.52330000,28.53240000,3091.83000000,1615565999999,88232.30307900,97,1007.74000000,28764.25102800,0
2021-03-13 00:20:00,28.53390000,28.55000000,28.52040000,28.53580000,3438.91000000,1615566059999,98123.19852300,146,937.94000000,26766.59332600,0
2021-03-13 00:21:00,28.53600000,28.55000000,28.51080000,28.53760000,6176.15000000,1615566119999,176240.26409300,168,2738.85000000,78158.42220400,0
2021-03-13 00:22:00,28.53760000,28.53930000,28.48610000,28.48620000,6629.22000000,1615566179999,189004.27098000,176,2683.13000000,76498.41471400,0
2021-03-13 00:23:00,28.49970000,28.51690000,28.48600000,28.49980000,3793.25000000,1615566239999,108095.59217100,138,1279.71000000,36471.22210500,0
2021-03-13 00:24:00,28.49980000,28.50700000,28.48220000,28.48220000,2889.62000000,1615566299999,82338.73642100,129,812.89000000,23163.48111800,0
2021-03-13 00:25:00,28.49480000,28.49480000,28.45010000,28.45730000,2470.90000000,1615566359999,70333.73193400,118,605.01000000,17222.71328800,0
2021-03-13 00:26:00,28.46850000,28.47320000,28.42550000,28.44240000,3916.63000000,1615566419999,111414.93419800,137,936.07000000,26624.09996200,0
2021-03-13 00:27:00,28.44030000,28.44030000,28.39530000,28.40890000,4616.91000000,1615566479999,131162.52027700,212,1492.38000000,42396.41697700,0
2021-03-13 00:28:00,28.40890000,28.50420000,28.40210000,28.49680000,8797.14000000,1615566539999,250263.85813300,233,6248.38000000,177724.18719100,0
2021-03-13 00:29:00,28.49680000,28.51950000,28.48240000,28.50460000,4520.67000000,1615566599999,128845.65084800,150,1470.71000000,41913.01895700,0
2021-03-13 00:30:00,28.50900000,28.52250000,28.46700000,28.47330000,5279.25000000,1615566659999,150439.87748200,152,1313.60000000,37438.33072500,0
2021-03-13 00:31:00,28.47330000,28.47620000,28.41500000,28.43420000,4259.46000000,1615566719999,121184.79335700,141,1507.61000000,42892.42797900,0
2021-03-13 00:32:00,28.44110000,28.46510000,28.41060000,28.45530000,5296.27000000,1615566779999,150583.06731100,147,2625.60000000,74643.42651700,0
2021-03-13 00:33:00,28.46040000,28.47640000,28.43920000,28.47000000,2185.88000000,1615566839999,62211.07271600,99,749.35000000,21331.44548400,0
2021-03-13 00:34:00,28.47060000,28.47890000,28.42410000,28.43530000,4493.13000000,1615566899999,127839.78699200,151,1974.71000000,56195.96086600,0
2021-03-13 00:35:00,28.42840000,28.46200000,28.40000000,28.40490000,3392.64000000,1615566959999,96431.50105100,151,843.50000000,23987.32508400,0
2021-03-13 00:36:00,28.40800000,28.45140000,28.40000000,28.40780000,4713.86000000,1615567019999,134006.59791100,120,3441.27000000,97834.99583300,0
2021-03-13 00:37:00,28.40780000,28.44230000,28.40180000,28.43510000,2467.86000000,1615567079999,70137.82745300,93,1568.49000000,44575.93045600,0
2021-03-13 00:38:00,28.43120000,28.51000000,28.42890000,28.49910000,8504.84000000,1615567139999,242008.57071600,204,6467.27000000,184021.49061600,0
2021-03-13 00:39:00,28.49220000,28.49220000,28.43540000,28.45000000,4301.51000000,1615567199999,122421.91477300,122,1580.86000000,44993.15130900,0
2021-03-13 00:40:00,28.45000000,28.45030000,28.43510000,28.43520000,2622.44000000,1615567259999,74589.52851400,99,1639.94000000,46646.32770800,0
2021-03-13 00:41:00,28.43630000,28.47940000,28.43530000,28.45010000,4360.08000000,1615567319999,124060.56683900,146,2573.25000000,73218.46584300,0
2021-03-13 00:42:00,28.45020000,28.46110000,28.43600000,28.45510000,1421.23000000,1615567379999,40429.58828800,82,775.43000000,22061.95725400,0
2021-03-13 00:43:00,28.45430000,28.45430000,28.42530000,28.43180000,2776.44000000,1615567439999,78950.60415900,91,1069.89000000,30422.14930000,0
