open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
2021-03-13 00:33:00,213.60000000,213.78000000,213.00000000,213.62000000,2149.03876000,1615566839999,458631.20592030,704,1046.78474000,223434.33759050,0
2021-03-13 00:34:00,213.62000000,214.20000000,213.50000000,213.98000000,786.21597000,1615566899999,168213.33061940,563,342.93847000,73387.55460930,0
2021-03-13 00:35:00,213.98000000,213.98000000,213.44000000,213.54000000,1012.01825000,1615566959999,216325.73459040,618,481.87085000,102955.20382330,0
2021-03-13 00:36:00,213.54000000,214.17000000,213.40000000,213.62000000,1843.98298000,1615567019999,394031.42351410,613,1263.26771000,269945.78121350,0
2021-03-13 00:37:00,213.62000000,213.98000000,213.33000000,213.85000000,661.63913000,1615567079999,141360.96728400,476,385.66851000,82388.42568480,0
2021-03-13 00:38:00,213.85000000,214.56000000,213.76000000,214.24000000,1840.32825000,1615567139999,394027.64642330,740,1106.17415000,236796.35965850,0
2021-03-13 00:39:00,214.35000000,214.49000000,213.65000000,214.00000000,3815.15518000,1615567199999,816373.99987870,680,2136.36434000,457037.40875940,0
2021-03-13 00:40:00,213.99000000,214.11000000,213.70000000,213.89000000,1059.60188000,1615567259999,226700.52164580,450,677.38535000,144928.41403190,0
2021-03-13 00:41:00,213.89000000,214.24000000,213.80000000,214.11000000,1018.09791000,1615567319999,217887.78999250,568,581.08896000,124363.39160940,0
2021-03-13 00:42:00,214.10000000,214.10000000,213.64000000,213.71000000,511.06375000,1615567379999,109278.59984400,336,330.18825000,70582.85760910,0
2021-03-13 00:43:00,213.71000000,213.77000000,213.41000000,213.49000000,808.74458000,1615567439999,172777.13204840,452,580.90601000,124111.90913760,0
2021-03-13 00:44:00,213.50000000,213.73000000,213.30000000,213.32000000,685.58235000,1615567499999,146410.27665390,470,319.14087000,68158.96305020,0
2021-03-13 00:45:00,213.32000000,213.33000000,212.76000000,212.83000000,1562.42480000,1615567559999,332763.12871780,620,1136.68068000,242073.89798950,0
2021-03-13 00:46:00,212.81000000,212.91000000,211.97000000,212.31000000,2215.76366000,1615567619999,470408.51410860,979,805.69283000,171056.41735860,0
2021-03-13 00:47:00,212.32000000,213.11000000,212.32000000,212.95000000,1324.54423000,1615567679999,281722.48545890,660,722.24325000,153655.82878920,0
2021-03-13 00:48:00,212.95000000,212.98000000,212.50000000,212.98000000,1239.40933000,1615567739999,263642.84719190,486,852.52937000,181339.94850380,0
2021-03-13 00:49:00,212.89000000,213.18000000,212.77000000,212.96000000,815.23021000,1615567799999,173591.98150910,424,548.78319000,116850.53478240,0
2021-03-13 00:50:00,212.96000000,213.37000000,212.72000000,212.96000000,1433.12383000,1615567859999,305301.01031680,645,1046.95010000,223018.81097320,0
2021-03-13 00:51:00,212.91000000,212.91000000,212.40000000,212.69000000,1238.04068000,1615567919999,263116.94539180,527,883.21227000,187692.14778400,0
2021-03-13 00:52:00,212.70000000,212.81000000,212.46000000,212.73000000,882.90346000,1615567979999,187733.46585970,391,808.85411000,171987.02181300,0
2021-03-13 00:53:00,212.74000000,212.81000000,212.27000000,212.34000000,942.07563000,1615568039999,200150.47709990,468,457.82402000,97239.40317980,0
2021-03-13 00:54:00,212.34000000,212.40000000,212.12000000,212.38000000,1017.30342000,1615568099999,215937.03845220,471,784.58741000,166553.09663580,0
2021-03-13 00:55:00,212.33000000,212.67000000,212.25000000,212.41000000,896.81617000,1615568159999,190566.92226390,472,671.23590000,142638.01150780,0
2021-03-13 00:56:00,212.39000000,212.50000000,212.38000000,212.43000000,1103.38789000,1615568219999,234407.70731360,377,905.93696000,192464.02589220,0
2021-03-13 00:57:00,212.44000000,212.75000000,212.42000000,212.69000000,1236.67712000,1615568279999,262932.71261070,478,1142.18532000,242841.65330890,0
2021-03-13 00:58:00,212.69000000,212.81000000,212.38000000,212.48000000,812.46198000,1615568339999,172652.95561610,415,584.93680000,124294.50441760,0
2021-03-13 00:59:00,212.48000000,212.91000000,212.28000000,212.69000000,665.52892000,1615568399999,141468.38642900,366,521.46168000,110854.48202030,0
2021-03-13 01:00:00,212.68000000,213.68000000,212.63000000,213.65000000,1482.10456000,1615568459999,315962.19073620,758,1042.32653000,222211.74145770,0
2021-03-13 01:01:00,213.65000000,213.65000000,212.64000000,212.80000000,1273.91685000,1615568519999,271435.50951100,746,673.54133000,143542.85151430,0
2021-03-13 01:02:00,212.81000000,213.07000000,212.31000000,212.41000000,787.23301000,1615568579999,167416.57433370,588,383.30627000,81508.32326330,0
2021-03-13 01:03:00,212.41000000,212.74000000,212.33000000,212.44000000,446.84335000,1615568639999,94952.27979830,543,268.80998000,57123.97083830,0
2021-03-13 01:04:00,212.43000000,212.71000000,212.33000000,212.42000000,646.74254000,1615568699999,137439.55123570,368,419.96610000,89247.08801400,0
2021-03-13 01:05:00,212.43000000,213.05000000,212.42000000,212.74000000,782.58323000,1615568759999,166525.27400300,658,623.90604000,132765.85873470,0
2021-03-13 01:06:00,212.73000000,212.83000000,212.35000000,212.35000000,402.35488000,1615568819999,85511.80411590,344,166.20385000,35328.68768090,0
2021-03-13 01:07:00,212.35000000,212.37000000,212.12000000,212.19000000,1397.21610000,1615568879999,296527.05953080,717,957.54208000,203222.87482220,0
2021-03-13 01:08:00,212.19000000,212.31000000,211.57000000,211.83000000,2455.79371000,1615568939999,520429.43883880,1097,1060.08101000,224621.09286940,0
2021-03-13 01:09:00,211.83000000,212.00000000,211.71000000,211.96000000,934.85882000,1615568999999,198075.57967590,546,644.19920000,136498.37172790,0
2021-03-13 01:10:00,211.95000000,212.16000000,211.77000000,211.77000000,851.24971000,1615569059999,180487.41740600,484,482.65537000,102345.10718880,0
2021-03-13 01:11:00,211.80000000,212.16000000,211.62000000,212.14000000,1183.95057000,1615569119999,250925.01790280,875,813.51861000,172421.65520800,0
2021-03-13 01:12:00,212.13000000,212.15000000,211.86000000,212.08000000,427.16239000,1615569179999,90578.20794830,362,288.18324000,61111.12958360,0
2021-03-13 01:13:00,212.07000000,212.21000000,211.70000000,212.15000000,1601.63527000,1615569239999,339528.68592850,799,1194.40421000,253182.24387580,0
2021-03-13 01:14:00,212.15000000,212.19000000,212.00000000,212.11000000,409.18666000,1615569299999,86784.22946830,522,237.11847000,50293.81152430,0
2021-03-13 01:15:00,212.11000000,212.66000000,211.99000000,212.50000000,1300.68105000,1615569359999,276013.95860150,878,849.73265000,180339.94752970,0
2021-03-13 01:16:00,212.50000000,212.59000000,212.29000000,212.29000000,850.12858000,1615569419999,180623.54703790,466,405.80669000,86223.41563140,0
2021-03-13 01:17:00,212.30000000,212.50000000,212.05000000,212.21000000,1436.20759000,1615569479999,304927.54954240,807,868.68050000,184464.69609430,0
2021-03-13 01:18:00,212.20000000,212.36000000,212.05000000,212.36000000,1022.74881000,1615569539999,216988.61570610,523,843.98780000,179065.08174950,0
