open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
2021-03-13 00:15:00,0.39247000,0.39303000,0.39202000,0.39275000,127491.30000000,1615565759999,50072.50890200,112,87156.70000000,34234.64088300,0
2021-03-13 00:16:00,0.39275000,0.39314000,0.39239000,0.39308000,55162.10000000,1615565819999,21667.71920300,106,37276.60000000,14644.79484700,0
2021-03-13 00:17:00,0.39292000,0.39307000,0.39274000,0.39290000,97012.50000000,1615565879999,38115.37442600,66,23986.50000000,9426.38275300,0
2021-03-13 00:18:00,0.39295000,0.39318000,0.39276000,0.39279000,73229.60000000,1615565939999,28781.50756600,78,42972.90000000,16890.77329100,0
2021-03-13 00:19:00,0.39300000,0.39363000,0.39279000,0.39313000,91058.70000000,1615565999999,35806.96813400,81,45049.60000000,17720.25519600,0
2021-03-13 00:20:00,0.39350000,0.39350000,0.39322000,0.39338000,23167.80000000,1615566059999,9113.00911300,30,6769.60000000,2663.32819500,0
2021-03-13 00:21:00,0.39333000,0.39363000,0.39320000,0.39347000,23752.70000000,1615566119999,9343.92833500,60,4767.60000000,1875.83327600,0
2021-03-13 00:22:00,0.39344000,0.39344000,0.39275000,0.39293000,40551.20000000,1615566179999,15939.12943000,59,10147.20000000,3987.62758800,0
2021-03-13 00:23:00,0.39286000,0.39302000,0.39285000,0.39302000,28737.20000000,1615566239999,11292.83038700,43,14751.40000000,5797.15140000,0
2021-03-13 00:24:00,0.39301000,0.39301000,0.39268000,0.39293000,41905.70000000,1615566299999,16464.34925400,61,10874.50000000,4272.04427300,0
2021-03-13 00:25:00,0.39293000,0.39298000,0.39248000,0.39277000,171457.50000000,1615566359999,67340.98652100,113,69362.70000000,27249.28498300,0
2021-03-13 00:26:00,0.39287000,0.39296000,0.39233000,0.39255000,123244.20000000,1615566419999,48389.83096200,93,92474.10000000,36310.52538600,0
2021-03-13 00:27:00,0.39249000,0.39263000,0.39193000,0.39263000,256742.50000000,1615566479999,100706.24024500,171,97972.10000000,38434.32032000,0
2021-03-13 00:28:00,0.39265000,0.39333000,0.39264000,0.39304000,368864.60000000,1615566539999,144967.79774700,156,269169.20000000,105788.31948400,0
